message,label
"Free entry in 2 a wkly comp to win FA Cup fina...",1
"Hey, are we still meeting for coffee later?",0
"URGENT: Your account has been compromised. Call now!",1
"Good morning! How are you?",0
"Congrats! You've won a $1000 gift card. Claim now!",1
"Are you free this evening?",0
"Limited time offer! Get your free iPhone today!",1
"Just wanted to check in and see how youâ€™re doing.",0
"Exclusive deal just for you! Buy 1, get 1 free!",1
"Meeting at 3 PM. Let me know if you need directions.",0
